Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
316;-11031851;-2283897;-105637.71875
316.5;-20798616;-2439222.75;155247.28125
317;-27889898;-1953056.25;271577.53125
317.5;-31528280;-951820.75;252208
318;-31361562;301428.1875;156850.59375
318.5;-27469420;1477504.25;67523.15625
319;-20333216;2265579;52005.90625
319.5;-10779156;2455863;135969.359375
320;101484.21875;1994780;294765.0625
320.5;11050820;999245;466049.8125
321;20765064;-273740.75;575123.6875
321.5;28031658;-1494288;561456.25
322;31877500;-2345676;397000.9375
322.5;31710920;-2607483.75;93451.0625
323;27436960;-2211008;-299825.25
323.5;19518404;-1258118.125;-703550.125
324;8961804;8701.9375;-1021005.0625
324.5;-2784847.5;1270487;-1156721.375
325;-14021496;2215748.25;-1041449.75
325.5;-23048684;2620058;-658975.9375
326;-28445516;2402244;-63982.65625
326.5;-29324756;1641160;621137.75
327;-25509536;553270.5;1234299.25
327.5;-17594990;-569490;1619451.875
328;-6872704;-1436771.5;1672385.5
328.5;4875977;-1838978.5;1369241.625
329;15682920;-1702235;769526.5
329.5;23737768;-1105787.5;-3011.6875
330;27707540;-257059.75;-790626.25
330.5;26968656;571657.5;-1434032.5
331;21707248;1121018.625;-1801718
331.5;12868599;1221931.5;-1815673.375
332;1970331.5;843045;-1471072.5
332.5;-9182547;99124;-843622.9375
333;-18819996;-782099.5625;-77144.5
333.5;-25505862;-1526184.5;650582.8125
334;-28356954;-1889358.375;1176493.25
334.5;-27148528;-1731712.875;1397489.25
335;-22294980;-1057195.75;1295552.75
335.5;-14721794;-20189.8125;933760.75
336;-5664407;1113630.5;428238.84375
336.5;3560360.5;2037128.5;-89305.8046875
337;11763929;2484750;-505029.34375
337.5;18041024;2307381;-743993.375
338;21850626;1517152.5;-778728.625
338.5;23023742;290059.5;-628781.625
339;21710284;-1075480.25;-353374.1875
339.5;18293590;-2233839;-37620.5
340;13296722;-2880578.25;227473.078125
340.5;7303670.5;-2832526;369046.15625
341;906537.6875;-2077164;353880.96875
341.5;-5321795.5;-779413;199705.453125
342;-10840656;757407.5;-29219.46875
342.5;-15153221;2165706.25;-242935.3125
343;-17832312;3105364;-356575.5
343.5;-18562822;3348662;-320666.15625
344;-17198826;2836032.25;-139548.390625
344.5;-13817146;1692571.375;129678.984375
345;-8751224;194086.0625;397277.15625
